apache=httpd

nginx	0.3.31	2006-03-10
nginx	0.3.30	2006-02-22
nginx	0.3.33	2006-03-15
nginx	0.3.32	2006-03-11
nginx	0.3.35	2006-03-22
nginx	0.3.34	2006-03-21
nginx	0.3.37	2006-04-07
nginx	0.3.36	2006-04-05
nginx	1.7.7	2014-10-28
nginx	0.6.29	2008-03-18
nginx	0.6.28	2008-03-13
nginx	1.1.6	2011-10-17
nginx	1.0.9	2011-11-01
nginx	1.0.8	2011-10-01
nginx	1.3.4	2012-07-31
nginx	1.1.7	2011-10-31
nginx	0.7.39	2009-03-02
nginx	0.7.38	2009-02-23
nginx	1.3.0	2012-05-15
nginx	1.3.1	2012-06-05
nginx	0.7.35	2009-02-16
nginx	0.7.34	2009-02-10
nginx	0.7.37	2009-02-21
nginx	0.7.36	2009-02-21
nginx	0.7.31	2009-01-19
nginx	0.7.30	2008-12-24
nginx	0.7.33	2009-02-02
nginx	0.7.32	2009-01-26
nginx	0.9.5	2011-02-21
nginx	0.9.4	2011-01-21
nginx	0.9.7	2011-04-04
nginx	0.9.6	2011-03-21
nginx	0.9.1	2010-11-30
nginx	0.9.0	2010-11-29
nginx	0.9.3	2010-12-13
nginx	0.9.2	2010-12-06
nginx	1.2.3	2012-08-07
nginx	1.2.2	2012-07-03
nginx	1.2.1	2012-06-05
nginx	1.1.3	2011-09-14
nginx	1.2.7	2013-02-12
nginx	1.2.6	2012-12-11
nginx	1.2.5	2012-11-13
nginx	1.2.4	2012-09-25
nginx	1.1.16	2012-02-29
nginx	0.6.21	2007-12-03
nginx	0.8.54	2010-12-14
nginx	0.8.55	2011-07-19
nginx	0.3.48	2006-05-29
nginx	0.8.53	2010-10-18
nginx	0.8.50	2010-09-02
nginx	0.8.51	2010-09-27
nginx	0.3.44	2006-05-04
nginx	0.3.45	2006-05-06
nginx	0.3.46	2006-05-11
nginx	0.3.47	2006-05-23
nginx	0.3.40	2006-04-19
nginx	0.3.41	2006-04-21
nginx	0.3.42	2006-04-26
nginx	0.3.43	2006-04-26
nginx	0.7.3	2008-06-23
nginx	0.7.2	2008-06-16
nginx	0.7.1	2008-05-26
nginx	0.7.0	2008-05-19
nginx	0.7.7	2008-07-30
nginx	0.7.6	2008-07-07
nginx	0.7.5	2008-07-01
nginx	0.7.4	2008-06-30
nginx	0.1.28	2005-04-08
nginx	0.1.29	2005-05-12
nginx	0.7.9	2008-08-12
nginx	0.7.8	2008-08-04
nginx	1.1.9	2011-11-28
nginx	0.6.20	2007-11-28
nginx	0.1.9	2004-11-25
nginx	0.1.8	2004-11-20
nginx	0.1.5	2004-11-11
nginx	0.1.4	2004-10-26
nginx	0.1.7	2004-11-12
nginx	0.1.6	2004-11-11
nginx	0.1.1	2004-10-11
nginx	0.1.0	2004-10-05
nginx	0.1.3	2004-10-25
nginx	0.1.2	2004-10-21
nginx	1.6.1	2014-08-05
nginx	1.1.2	2011-09-05
nginx	0.8.27	2009-11-17
nginx	0.8.26	2009-11-16
nginx	0.8.25	2009-11-16
nginx	0.8.24	2009-11-11
nginx	0.8.23	2009-11-11
nginx	0.8.22	2009-11-03
nginx	0.8.21	2009-10-26
nginx	0.8.20	2009-10-14
nginx	0.3.7	2005-10-27
nginx	0.3.6	2005-10-24
nginx	0.3.5	2005-10-21
nginx	0.3.4	2005-10-19
nginx	0.3.3	2005-10-19
nginx	0.3.2	2005-10-12
nginx	0.8.29	2009-11-30
nginx	0.8.28	2009-11-23
nginx	0.7.59	2009-05-25
nginx	0.7.58	2009-05-18
nginx	0.7.53	2009-04-27
nginx	0.7.52	2009-04-20
nginx	0.7.51	2009-04-12
nginx	0.7.50	2009-04-06
nginx	0.7.57	2009-05-12
nginx	0.7.56	2009-05-11
nginx	0.7.55	2009-05-06
nginx	0.7.54	2009-05-01
nginx	0.8.0	2009-06-02
nginx	0.8.1	2009-06-08
nginx	0.8.2	2009-06-15
nginx	0.8.3	2009-06-19
nginx	0.8.4	2009-06-22
nginx	0.8.5	2009-07-13
nginx	0.8.6	2009-07-20
nginx	0.8.7	2009-07-27
nginx	0.8.8	2009-08-10
nginx	0.8.9	2009-08-17
nginx	0.6.23	2007-12-27
nginx	0.6.22	2007-12-19
nginx	0.6.25	2008-01-08
nginx	0.6.24	2007-12-27
nginx	0.6.27	2008-03-12
nginx	0.6.26	2008-02-11
nginx	0.5.1	2006-12-11
nginx	0.5.0	2006-12-04
nginx	0.5.3	2006-12-13
nginx	0.5.2	2006-12-11
nginx	0.5.5	2006-12-24
nginx	0.5.4	2006-12-14
nginx	0.5.7	2007-01-15
nginx	0.5.6	2007-01-09
nginx	0.5.9	2007-01-25
nginx	0.5.8	2007-01-19
nginx	0.3.60	2006-08-18
nginx	0.3.61	2006-08-28
nginx	1.5.2	2013-07-02
nginx	1.3.3	2012-07-10

qpopper	4.0.19-no-test	2009-10-17
qpopper	4.0.19	2009-10-17
qpopper	4.1.0-no-test	2011-06-01
qpopper	4.1.0	2011-06-01
qpopper	4.0.7-no-test	2005-04-26
qpopper	3.1.2	2000-11-13
qpopper	4.0.3	2001-06-02
qpopper	4.0.4	2002-04-12
qpopper	4.0.5	2003-03-13
qpopper	3.0.1	2000-05-05
qpopper	3.0.2	2000-05-17
qpopper	4.0.13-no-test	2008-05-08
qpopper	4.0.7	2005-04-26
qpopper	4.0.5-no-test	2003-03-13
qpopper	3.1.2-no-test	2000-11-13
qpopper	4.0.17-no-test	2009-07-13
qpopper	4.0.3-no-test	2001-06-02
qpopper	4.0.4-no-test	2002-04-12
qpopper	4.0.12	2008-05-03
qpopper	4.0.13	2008-05-08
qpopper	4.0.17	2009-07-13
qpopper	4.0.14	2008-06-27
qpopper	4.0.18-no-test	2009-07-19
qpopper	4.0.12-no-test	2008-05-03
